,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,25, Private,22435, Bachelors,2, Married-spouse-absent, ?, Other-relative, White, Male,2,0,40, United-States, <=50K
1,66, Private,150928, Some-college,14, Married-civ-spouse, Protective-serv, Unmarried, White, Female,-12,0,40, United-States, <=50K
2,25, Private,155951, 10th,7, Never-married, Other-service, Own-child, White, Female,15,-1,40, United-States, <=50K
3,45, Private,232766, HS-grad,1, Never-married, Adm-clerical, Not-in-family, White, Male,-9,-1,30, United-States, >50K
4,36, Private,150224, Some-college,7, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,11,-1,40, Dominican-Republic, <=50K
5,25, Private,158455, HS-grad,13, Never-married, Other-service, Other-relative, White, Female,1,0,40, United-States, <=50K
6,24, Self-emp-inc,225687, 11th,-1, Never-married, Farming-fishing, Husband, White, Female,5,-1,50, United-States, >50K
7,25, Local-gov,147940, 5th-6th,0, Never-married, Tech-support, Unmarried, White, Male,14688,0,21, Scotland, >50K
8,26, State-gov,154528, Some-college,9, Widowed, Machine-op-inspct, Unmarried, White, Female,20,0,40, Germany, <=50K
9,56, Without-pay,150706, Some-college,2, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male,6,0,49, United-States, <=50K
10,26, Private,73865, HS-grad,10, Married-civ-spouse, ?, Unmarried, White, Female,14917,0,40, United-States, <=50K
11,26, Local-gov,157187, 7th-8th,9, Widowed, Sales, Husband, White, Male,3,0,20, United-States, <=50K
12,43, Private,256524, Bachelors,-1, Never-married, Adm-clerical, Husband, White, Male,3703,0,44, United-States, <=50K
13,24, Never-worked,259394, HS-grad,12, Never-married, Machine-op-inspct, Unmarried, Black, Female,1,0,22, Puerto-Rico, <=50K
14,24, Local-gov,154745, 10th,14, Never-married, Sales, Husband, White, Male,-4,0,67, United-States, <=50K
15,37, State-gov,139467, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,6,0,66, United-States, <=50K
16,46, Private,259705, Prof-school,14, Never-married, Prof-specialty, Husband, White, Female,14,0,12, Scotland, <=50K
17,36, Private,23046, Bachelors,-1, Divorced, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,10,-1,50, United-States, <=50K
18,25, Private,237193, HS-grad,9, Never-married, Adm-clerical, Husband, White, Male,2,0,50, United-States, <=50K
19,26, ?,64980, Masters,-1, Widowed, Craft-repair, Other-relative, White, Male,-9,0,35, United-States, <=50K
20,26, Private,142513, Bachelors,7, Never-married, ?, Husband, White, Male,7,0,40, United-States, <=50K
21,58, Private,135576, 12th,1, Married-spouse-absent, Priv-house-serv, Husband, White, Male,9,-1,36, United-States, <=50K
22,25, Private,137856, Bachelors,11, Never-married, Prof-specialty, Husband, White, Female,4,0,40, Thailand, <=50K
23,61, Local-gov,283359, Bachelors,2, Married-civ-spouse, Craft-repair, Unmarried, White, Male,8,-1,40, United-States, >50K
24,36, Private,155098, HS-grad,14, Never-married, Handlers-cleaners, Husband, White, Male,19,0,40, United-States, <=50K
25,61, Self-emp-inc,204011, Masters,10, Separated, ?, Not-in-family, Amer-Indian-Eskimo, Male,-8,2029,22, El-Salvador, <=50K
26,25, Private,138062, 5th-6th,14, Never-married, Sales, Husband, White, Male,7,0,40, Haiti, <=50K
27,25, Private,64356, HS-grad,10, Never-married, Sales, Unmarried, White, Female,14,0,35, United-States, <=50K
28,47, Private,283515, HS-grad,10, Divorced, ?, Own-child, White, Female,-7,-1,40, Mexico, <=50K
29,32, Local-gov,264702, HS-grad,7, Never-married, Other-service, Husband, White, Male,-3,-1,49, Columbia, <=50K
30,42, Private,202773, Some-college,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,11,0,57, ?, >50K
31,26, Private,158230, HS-grad,2, Separated, Prof-specialty, Husband, Other, Female,7,0,44, United-States, <=50K
32,24, Local-gov,80784, Assoc-acdm,14, Widowed, Other-service, Other-relative, Amer-Indian-Eskimo, Female,1,0,45, Canada, <=50K
