,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,22, Private,111802, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,77,6,40, United-States, <=50K
1,13, Private,177128, Assoc-voc,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,133,-3,40, United-States, >50K
2,37, Private,156223, Some-college,12, Never-married, Machine-op-inspct, Husband, Black, Female,73,3,40, United-States, >50K
3,25, State-gov,101585, Some-college,13, Married-civ-spouse, Sales, Not-in-family, White, Male,53,1,9, Philippines, <=50K
4,29, Private,184172, Some-college,9, Never-married, Other-service, Husband, White, Male,-51,-2,40, United-States, <=50K
5,22, Private,67201, Some-college,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,72,3,40, United-States, <=50K
6,31, Private,158612, Bachelors,9, Married-civ-spouse, Transport-moving, Own-child, White, Male,-4,6,35, United-States, <=50K
7,40, Private,354585, Assoc-voc,10, Never-married, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Male,78,-1,48, United-States, <=50K
8,63, Private,290668, Some-college,9, Never-married, Sales, Not-in-family, Other, Male,79,-4,40, United-States, <=50K
9,34, Private,155213, Some-college,14, Divorced, Other-service, Wife, White, Male,121,-1,-1, United-States, <=50K
10,31, Private,163111, Bachelors,10, Never-married, Adm-clerical, Not-in-family, White, Male,71,4,40, United-States, <=50K
11,46, Private,153340, 7th-8th,9, Never-married, Other-service, Not-in-family, White, Male,46,-4,37, United-States, <=50K
12,15, Private,138843, HS-grad,15, Married-civ-spouse, ?, Husband, White, Male,113,4,40, United-States, >50K
13,43, Private,212026, HS-grad,11, Married-civ-spouse, ?, Not-in-family, White, Male,76,1,36, United-States, <=50K
14,36, Local-gov,250176, Bachelors,7, Married-civ-spouse, Prof-specialty, Husband, White, Male,89,2,8, Mexico, <=50K
15,46, Federal-gov,228583, Some-college,4, Separated, Sales, Wife, White, Male,-1,1,40, United-States, <=50K
16,58, Private,238129, Bachelors,10, Never-married, ?, Wife, Asian-Pac-Islander, Male,14,-4,45, United-States, <=50K
17,32, Private,86899, Some-college,12, Never-married, Other-service, Husband, White, Male,61,0,40, United-States, >50K
18,49, Private,31757, HS-grad,9, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,44,2,49, United-States, <=50K
19,35, Private,224013, Assoc-acdm,6, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,38,2,40, United-States, <=50K
20,21, Private,162672, Bachelors,12, Married-civ-spouse, Tech-support, Own-child, Black, Female,-28,-1,40, United-States, <=50K
21,37, Private,26176, 7th-8th,7, Married-civ-spouse, Handlers-cleaners, Own-child, White, Male,129,2,40, Mexico, >50K
22,41, Private,125495, Some-college,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,12,-1,40, United-States, <=50K
23,33, Private,209073, HS-grad,9, Married-civ-spouse, Exec-managerial, Own-child, Black, Male,79,2,40, United-States, <=50K
24,35, Private,171712, Some-college,16, Never-married, Priv-house-serv, Husband, White, Male,87,2,53, ?, <=50K
25,45, Private,133327, 1st-4th,6, Never-married, Tech-support, Own-child, White, Female,108,5,40, Jamaica, <=50K
26,53, Never-worked,160725, Prof-school,13, Never-married, Machine-op-inspct, Husband, White, Male,119,-3,40, United-States, <=50K
27,37, Private,200424, 1st-4th,10, Married-civ-spouse, Prof-specialty, Unmarried, White, Male,120,4,48, United-States, <=50K
28,34, Private,112596, Bachelors,12, Married-civ-spouse, Protective-serv, Not-in-family, White, Male,34,4,40, United-States, <=50K
29,37, Local-gov,148832, Some-college,14, Never-married, Other-service, Husband, Other, Female,146,1,40, Mexico, <=50K
30,16, Private,140527, Some-college,9, Never-married, Other-service, Not-in-family, White, Male,31,-3,43, United-States, <=50K
31,37, Private,61963, Bachelors,11, Married-civ-spouse, Sales, Husband, White, Male,44,-3,40, United-States, >50K
32,40, Private,190623, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,19,1,40, United-States, <=50K
33,32, Private,181565, Some-college,9, Divorced, Prof-specialty, Wife, Black, Female,52,1,40, United-States, >50K
34,41, Private,262028, Prof-school,12, Married-civ-spouse, ?, Husband, White, Male,112,-2,40, United-States, >50K
35,66, Self-emp-not-inc,49613, Assoc-voc,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,85,1,13, United-States, <=50K
36,40, Self-emp-inc,410385, Some-college,12, Married-civ-spouse, Craft-repair, Wife, White, Female,-22,1,21, United-States, <=50K
37,31, ?,224075, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,3537,-5,40, United-States, <=50K
38,39, Private,154126, Some-college,10, Separated, Sales, Not-in-family, White, Male,69,5,48, United-States, <=50K
39,24, Private,137377, Some-college,9, Divorced, Handlers-cleaners, Husband, White, Female,94,0,32, United-States, <=50K
40,70, Private,219039, Bachelors,13, Separated, Farming-fishing, Husband, White, Male,38,3,-1, ?, <=50K
41,38, Private,232976, HS-grad,13, Divorced, Adm-clerical, Husband, White, Male,61,-1,12, United-States, <=50K
42,55, State-gov,159723, 11th,10, Never-married, Farming-fishing, Husband, Black, Male,79,-3,40, United-States, <=50K
43,38, Private,272136, 12th,9, Separated, ?, Not-in-family, White, Female,66,-3,29, Dominican-Republic, <=50K
44,29, State-gov,196375, Masters,9, Separated, Craft-repair, Not-in-family, Black, Male,99,-1,40, United-States, <=50K
45,35, Private,110882, Assoc-acdm,9, Married-civ-spouse, Adm-clerical, Not-in-family, Black, Male,66,-3,40, United-States, <=50K
46,30, Never-worked,180009, HS-grad,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-49,-1,40, Jamaica, <=50K
47,29, Private,124306, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,115,-1,40, United-States, <=50K
48,40, Private,240480, 12th,11, Married-civ-spouse, Handlers-cleaners, Wife, Black, Male,-44,1,40, United-States, >50K
49,28, Private,118764, Some-college,15, Never-married, Machine-op-inspct, Unmarried, White, Male,114,-3,31, ?, <=50K
50,45, Private,271846, Some-college,5, Divorced, Exec-managerial, Unmarried, White, Male,41,2,40, United-States, <=50K
51,28, Private,177645, Some-college,11, Never-married, ?, Unmarried, White, Male,15,-4,40, United-States, <=50K
52,48, State-gov,68196, Some-college,9, Married-civ-spouse, Farming-fishing, Unmarried, White, Male,31,4,40, United-States, <=50K
53,49, Private,45443, 12th,2, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Female,136,3,49, United-States, <=50K
54,42, Self-emp-not-inc,169459, Some-college,9, Married-civ-spouse, Handlers-cleaners, Unmarried, White, Male,-51,4,40, United-States, <=50K
55,24, Private,224965, Bachelors,7, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,42,5,40, India, >50K
56,28, State-gov,243014, 10th,9, Separated, ?, Husband, Amer-Indian-Eskimo, Male,114,-2,40, Japan, <=50K
57,41, Private,234604, Some-college,9, Separated, Sales, Husband, White, Male,95,8,38, ?, <=50K
58,41, Private,264426, Some-college,14, Never-married, Prof-specialty, Wife, Other, Male,37,5,40, United-States, <=50K
59,44, Private,247341, Some-college,9, Never-married, Tech-support, Husband, White, Male,-15,0,40, ?, <=50K
